,Lead Time,Distance (km),Fragility Index,Natural Disaster Risk,BCP_risk,SCR_score
77,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
78,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
79,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
80,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
81,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
82,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
83,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
84,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
85,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
86,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
87,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
